X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1324.0,1324.0,train,8.045817055914932E-5,11.283982470825261,0.42047112496021977
1325.0,1325.0,train,5.605343228939592E-5,7.575167153145555,0.3161834064974609
1327.0,1327.0,train,1.490916555240189E-4,27.904712676596322,0.6361098722681651
1328.0,1328.0,train,1.5664448846704245E-4,32.50193110548287,0.6542760469465652
1330.0,1330.0,train,2.0430439180390742E-4,71.53189786476334,0.749743420994784
1331.0,1331.0,train,1.2097023156616575E-4,18.69216557194376,0.5596689188150581
1332.0,1332.0,train,2.2403987049883647E-4,84.77963756084421,0.7810875296907859
1333.0,1333.0,train,1.7097832426844867E-4,42.626901717909746,0.6862955573480802
1334.0,1334.0,train,1.7558691794527088E-4,46.244154799267896,0.6959466743608752
1335.0,1335.0,train,2.300691405252846E-4,87.62689420184122,0.7898564186526499
1338.0,1338.0,train,2.455604887021137E-4,93.04947665503435,0.8108097263390863
1341.0,1341.0,train,1.7727766500733887E-4,47.860636432135735,0.6994124279964515
1342.0,1342.0,train,1.7100891418324237E-4,42.65087261125545,0.6863606167665308
1343.0,1343.0,train,4.36625466515926E-5,5.8071314927754,0.2562499003230534
1344.0,1344.0,train,1.552756681329798E-4,31.450731281069512,0.651052387646502
1345.0,1345.0,train,1.7571649351047153E-4,46.37849340514662,0.6962136910349637
1350.0,1350.0,train,2.0669850852263332E-4,73.55961777677601,0.7537730670000002
1351.0,1351.0,train,1.6256272592233862E-4,36.620506395510596,0.6678746271110276
1352.0,1352.0,train,2.491661240510027E-4,93.78642908746664,0.8153789135328948
1353.0,1353.0,train,1.554673585273766E-4,31.593074503120082,0.6515056343521577
1355.0,1355.0,train,2.2507612615724041E-4,85.34150242137675,0.7826202709898178
1356.0,1356.0,train,1.2279133517149372E-4,19.140492876987903,0.5650726250912186
1357.0,1357.0,train,1.6222858560391602E-4,36.421271660170454,0.6671213074892279
1359.0,1359.0,train,1.0618548357561223E-4,15.548211154093936,0.5132388121092523
1361.0,1361.0,train,1.9855825577561802E-4,66.57789021042632,0.7398006950807051
1362.0,1362.0,train,1.2346234174284143E-4,19.287546906767105,0.5670469208599463
1363.0,1363.0,train,1.598810007704588E-4,34.799054413624745,0.66178028239537
1364.0,1364.0,train,1.862021533892887E-4,55.02684895009279,0.7170621118007021
1365.0,1365.0,train,2.0323763099305603E-4,70.66303637307216,0.7479267326693487
1366.0,1366.0,train,1.073017517579862E-4,15.721260925233636,0.5169090842556887
